State,2011,2012,2000
California,37691912,37253956,33871648
Texas,25674681,25145561,20851820
New York,19465197,19378102,18976457
Florida,19057542,18801310,15982378
Illinois,12869257,12830632,12419293
Pennsylvania,12742886,12702379,12281054
Ohio,11544951,11536504,11353140
Michigan,9876187,9883640,9938444
Georgia,9815210,9687653,8186453
North Carolina,9656401,9535483,8049313
New Jersey,8821155,8791894,8414350
Virginia,8096604,8001024,7078515
Washington,6830038,6724540,5894121
Massachusetts,6587536,6547629,6349097
Indiana,6516922,6483802,6080485
Arizona,6482505,6392017,5130632
Tennessee,6403353,6346105,5689283
Missouri,6010688,5988927,5595211
Maryland,5828289,5773552,5296486
Wisconsin,5711767,5686986,5363675
Minnesota,5344861,5303925,4919479
Colorado,5116769,5029196,4301261
Alabama,4802740,4779736,4447100
South Carolina,4679230,4625364,4012012
Louisiana,4574836,4533372,4468976
Kentucky,4369356,4339367,4041769
Oregon,3871859,3831074,3421399
Oklahoma,3791508,3751351,3450654
Connecticut,3580709,3574097,3405565
Iowa,3062309,3046355,2926324
Mississippi,2978512,2967297,2844658
Arkansas,2937979,2915918,2673400
Kansas,2871238,2853118,2688418
Utah,2817222,2763885,2233169
Nevada,2723322,2700551,1998257
New Mexico,2082224,2059179,1819046
West Virginia,1855364,1852994,1808344
Nebraska,1842641,1826341,1711263
Idaho,1584985,1567582,1293953
Hawaii,1374810,1360301,1211537
Maine,1328188,1328361,1274923
New Hampshire,1318194,1316470,1235786
Rhode Island,1051302,1052567,1048319
Montana,998199,989415,902195
Delaware,907135,897934,783600
South Dakota,824082,814180,754844
Alaska,722718,710231,626932
North Dakota,683932,672591,642200
Vermont,626431,625741,608827
Wyoming,568158,563626,493782
