"term","frequency","density","occurrence"
" top",10,0.000150281025517718,0.002
"¼èçïâ",2,3.00562051035436e-05,0.002
"¼îçîè½ºæ",2,3.00562051035436e-05,0.002
"¹¾æáöí",3,4.50843076553154e-05,0.002
"¹æ¼û",3,4.50843076553154e-05,0.002
"¹àì",2,3.00562051035436e-05,0.002
"¹ýµå½ã",2,3.00562051035436e-05,0.002
"¹þí",2,3.00562051035436e-05,0.002
"³ô¾æáöé¼",2,3.00562051035436e-05,0.002
"³ôàº",4,6.01124102070873e-05,0.002
"á¾àìù",2,3.00562051035436e-05,0.002
"áá¾",3,4.50843076553154e-05,0.002
"aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa",30,0.000450843076553154,0.004
"äáò",2,3.00562051035436e-05,0.002
"abacha",2,3.00562051035436e-05,0.002
"abandoned",2,3.00562051035436e-05,0.002
"abcc",4,6.01124102070873e-05,0.002
"abidjan",10,0.000150281025517718,0.008
"ability",2,3.00562051035436e-05,0.002
"able",15,0.000225421538276577,0.014
"abnormal",3,4.50843076553154e-05,0.002
"abonnement",4,6.01124102070873e-05,0.004
"aboriginal",5,7.51405127588591e-05,0.002
"abr",12,0.000180337230621262,0.008
"abroad",2,3.00562051035436e-05,0.002
"absence",2,3.00562051035436e-05,0.002
"absolute",3,4.50843076553154e-05,0.002
"absolutely",31,0.000465871179104926,0.022
"abu",2,3.00562051035436e-05,0.002
"abuse",7,0.000105196717862403,0.002
"abuses",2,3.00562051035436e-05,0.002
"accept",2,3.00562051035436e-05,0.002
"accepted",3,4.50843076553154e-05,0.002
"access",73,0.00109705148627934,0.05
"accessories",2,3.00562051035436e-05,0.002
"acclaimed",2,3.00562051035436e-05,0.002
"according",10,0.000150281025517718,0.006
"accordingly",2,3.00562051035436e-05,0.002
"account",80,0.00120224820414175,0.046
"accountability",2,3.00562051035436e-05,0.002
"accounts",4,6.01124102070873e-05,0.004
"accuracy",2,3.00562051035436e-05,0.002
"acedarial",3,4.50843076553154e-05,0.002
"achieve",6,9.01686153106309e-05,0.004
"achieved",3,4.50843076553154e-05,0.002
"achieves",2,3.00562051035436e-05,0.002
"acknowledge",5,7.51405127588591e-05,0.004
"acknowledged",9,0.000135252922965946,0.002
"acknowledging",3,4.50843076553154e-05,0.002
"acquire",2,3.00562051035436e-05,0.002
"acre",3,4.50843076553154e-05,0.002
"act",31,0.000465871179104926,0.02
"acteurs",4,6.01124102070873e-05,0.004
"actigis",4,6.01124102070873e-05,0.004
"action",9,0.000135252922965946,0.002
"actiondhttpwwwwebxpertscomwebxflyerasp",10,0.000150281025517718,0.002
"actionhttpfreeinfocgibinmanagerpl",2,3.00562051035436e-05,0.002
"actions",5,7.51405127588591e-05,0.002
"active",2,3.00562051035436e-05,0.002
"activities",5,7.51405127588591e-05,0.002
"activity",10,0.000150281025517718,0.008
"acts",8,0.000120224820414175,0.002
"actual",7,0.000105196717862403,0.004
"actually",7,0.000105196717862403,0.006
"add",6,9.01686153106309e-05,0.006
"added",3,4.50843076553154e-05,0.002
"addition",2,3.00562051035436e-05,0.002
"additional",20,0.000300562051035436,0.012
"address",180,0.00270505845931893,0.06
"addresses",87,0.00130744492200415,0.026
"addressesdatabase",2,3.00562051035436e-05,0.002
"administer",2,3.00562051035436e-05,0.002
"administration",7,0.000105196717862403,0.004
"adopted",2,3.00562051035436e-05,0.002
"adress",2,3.00562051035436e-05,0.002
"adresse",2,3.00562051035436e-05,0.002
"ads",26,0.000390730666346067,0.018
"adult",38,0.000571067896967329,0.022
"adults",2,3.00562051035436e-05,0.002
"adultwebmasters",3,4.50843076553154e-05,0.002
"advanced",2,3.00562051035436e-05,0.002
"advantage",13,0.000195365333173034,0.01
