"term","frequency","density","occurrence"
"abandoned",2,9.41132182014964e-05,0.002
"ability",2,9.41132182014964e-05,0.002
"abiword",4,0.000188226436402993,0.002
"able",9,0.000423509481906734,0.008
"ablock",5,0.000235283045503741,0.002
"abroad",2,9.41132182014964e-05,0.002
"absence",3,0.000141169827302245,0.002
"absolutely",2,9.41132182014964e-05,0.002
"academic",4,0.000188226436402993,0.004
"academy",5,0.000235283045503741,0.002
"accepting",2,9.41132182014964e-05,0.002
"access",8,0.000376452872805986,0.006
"accident",2,9.41132182014964e-05,0.002
"according",8,0.000376452872805986,0.008
"account",9,0.000423509481906734,0.008
"accounting",4,0.000188226436402993,0.002
"accounts",2,9.41132182014964e-05,0.002
"accused",3,0.000141169827302245,0.002
"acontentsarticletitlecolorbackgroundcolortransparentfontfamilyverdanafontsizexxsmallfontweightnormalfontstylenormaltextdecorationunderline",2,9.41132182014964e-05,0.002
"acontentsarticletitlehovercolorffbackgroundcolortransparentfontfamilyverdanafontsizexxsmallfontweightnormalfontstylenormaltextdecorationunderline",2,9.41132182014964e-05,0.002
"acquisition",5,0.000235283045503741,0.002
"act",22,0.00103524540021646,0.006
"action",8,0.000376452872805986,0.004
"active",2,9.41132182014964e-05,0.002
"activists",7,0.000329396263705237,0.004
"activity",8,0.000376452872805986,0.008
"acts",4,0.000188226436402993,0.004
"actspartners",3,0.000141169827302245,0.002
"actually",20,0.000941132182014964,0.018
"adam",51,0.00239988706413816,0.034
"add",7,0.000329396263705237,0.006
"added",7,0.000329396263705237,0.006
"addiction",2,9.41132182014964e-05,0.002
"address",4,0.000188226436402993,0.002
"addressing",2,9.41132182014964e-05,0.002
"adhesion",2,9.41132182014964e-05,0.002
"adhesive",4,0.000188226436402993,0.004
"administration",17,0.000799962354712719,0.006
"adopted",3,0.000141169827302245,0.002
"ads",4,0.000188226436402993,0.004
"adsl",2,9.41132182014964e-05,0.002
"advantage",4,0.000188226436402993,0.004
"advertise",2,9.41132182014964e-05,0.002
"advertisement",2,9.41132182014964e-05,0.002
"advertising",6,0.000282339654604489,0.006
"advice",2,9.41132182014964e-05,0.002
"advises",2,9.41132182014964e-05,0.002
"advocates",2,9.41132182014964e-05,0.002
"afford",2,9.41132182014964e-05,0.002
"afont",3,0.000141169827302245,0.002
"afooterarchivecolorbackgroundcolortransparentfontfamilyverdanafontsizexxsmallfontweightboldfontstylenormaltextdecorationnone",2,9.41132182014964e-05,0.002
"afooterarchivehovercolorffbackgroundcolortransparentfontfamilyverdanafontsizexxsmallfontweightboldfontstylenormaltextdecorationunderline",2,9.41132182014964e-05,0.002
"afootercopyrightcolorbackgroundcolortransparentfontfamilyverdanafontsizexxsmallfontweightnormalfontstylenormaltextdecorationnone",2,9.41132182014964e-05,0.002
"afooterdisclaimercolorbackgroundcolortransparentfontfamilyverdanafontsizexxsmallfontweightnormalfontstylenormaltextdecorationnone",2,9.41132182014964e-05,0.002
"afooterpdfcolorbackgroundcolortransparentfontfamilyverdanafontsizexxsmallfontweightboldfontstylenormaltextdecorationnone",2,9.41132182014964e-05,0.002
"afooterpdfhovercolorffbackgroundcolortransparentfontfamilyverdanafontsizexxsmallfontweightboldfontstylenormaltextdecorationunderline",2,9.41132182014964e-05,0.002
"afooterpublishercolorbackgroundcolortransparentfontfamilyverdanafontsizexxsmallfontweightnormalfontstylenormaltextdecorationnone",2,9.41132182014964e-05,0.002
"afooterpublisherhovercolorffbackgroundcolortransparentfontfamilyverdanafontsizexxsmallfontweightnormalfontstylenormaltextdecorationunderline",2,9.41132182014964e-05,0.002
"afootertellafriendcolorbackgroundcolortransparentfontfamilyverdanafontsizexxsmallfontweightboldfontstylenormaltextdecorationunderline",2,9.41132182014964e-05,0.002
"afootertellafriendhovercolorffbackgroundcolortransparentfontfamilyverdanafontsizexxsmallfontweightboldfontstylenormaltextdecorationunderline",2,9.41132182014964e-05,0.002
"african",4,0.000188226436402993,0.002
"aged",3,0.000141169827302245,0.002
"agencies",18,0.000847018963813468,0.008
"agency",13,0.000611735918309727,0.006
"agent",5,0.000235283045503741,0.002
"agents",4,0.000188226436402993,0.002
"aggressive",2,9.41132182014964e-05,0.002
"ago",13,0.000611735918309727,0.012
"agosto",2,9.41132182014964e-05,0.002
"agree",6,0.000282339654604489,0.006
"agreeable",4,0.000188226436402993,0.004
"agreed",3,0.000141169827302245,0.002
"agreement",2,9.41132182014964e-05,0.002
"aid",13,0.000611735918309727,0.004
"aids",4,0.000188226436402993,0.004
"aimed",2,9.41132182014964e-05,0.002
"aio",13,0.000611735918309727,0.006
"air",4,0.000188226436402993,0.004
"airline",5,0.000235283045503741,0.002
"airlines",5,0.000235283045503741,0.002
"airport",4,0.000188226436402993,0.002
"airwaves",2,9.41132182014964e-05,0.002
"airways",7,0.000329396263705237,0.002
"alb",167,0.00785845371982495,0.014
"album",2,9.41132182014964e-05,0.002
"alcohol",2,9.41132182014964e-05,0.002
"alfred",2,9.41132182014964e-05,0.002
"aliens",3,0.000141169827302245,0.002
"aligncenter",4,0.000188226436402993,0.002
"alignleft",4,0.000188226436402993,0.002
"alignright",3,0.000141169827302245,0.002
"alive",2,9.41132182014964e-05,0.002
"alliance",9,0.000423509481906734,0.006
"allow",6,0.000282339654604489,0.006
"allowed",2,9.41132182014964e-05,0.002
"allows",2,9.41132182014964e-05,0.002
"alot",2,9.41132182014964e-05,0.002
"alsa",19,0.000894075572914216,0.006
"alsadriver",3,0.000141169827302245,0.002
"alsalibs",2,9.41132182014964e-05,0.002
"alt",4,0.000188226436402993,0.004
"alternative",6,0.000282339654604489,0.006
"amazed",2,9.41132182014964e-05,0.002
"america",22,0.00103524540021646,0.012
"american",8,0.000376452872805986,0.006
"americans",11,0.00051762270010823,0.006
"americas",2,9.41132182014964e-05,0.002
"amount",7,0.000329396263705237,0.006
"amphetadesk",2,9.41132182014964e-05,0.002
"analysis",6,0.000282339654604489,0.004
"analyst",2,9.41132182014964e-05,0.002
"analysts",2,9.41132182014964e-05,0.002
"ancient",2,9.41132182014964e-05,0.002
"andmerited",2,9.41132182014964e-05,0.002
"andor",4,0.000188226436402993,0.004
"anecdote",2,9.41132182014964e-05,0.002
"angles",5,0.000235283045503741,0.004
"anglesaminvestmentscom",2,9.41132182014964e-05,0.002
"anglicans",2,9.41132182014964e-05,0.002
"animal",15,0.000705849136511223,0.006
"animals",4,0.000188226436402993,0.002
"anime",4,0.000188226436402993,0.004
"announced",6,0.000282339654604489,0.004
"announcement",2,9.41132182014964e-05,0.002
"annoy",2,9.41132182014964e-05,0.002
"annual",2,9.41132182014964e-05,0.002
"anonymous",7,0.000329396263705237,0.006
"answer",8,0.000376452872805986,0.008
"ant",2,9.41132182014964e-05,0.002
"antarctica",2,9.41132182014964e-05,0.002
"antialiased",2,9.41132182014964e-05,0.002
"antifraud",2,9.41132182014964e-05,0.002
"antiquated",5,0.000235283045503741,0.004
"antique",2,9.41132182014964e-05,0.002
"antiquity",4,0.000188226436402993,0.004
"antispam",2,9.41132182014964e-05,0.002
"antitrust",3,0.000141169827302245,0.002
"anyhow",2,9.41132182014964e-05,0.002
"anymore",3,0.000141169827302245,0.002
"anyway",11,0.00051762270010823,0.01
"anyways",2,9.41132182014964e-05,0.002
"aol",3,0.000141169827302245,0.002
"aoloxygen",2,9.41132182014964e-05,0.002
"apartment",2,9.41132182014964e-05,0.002
"apbr",3,0.000141169827302245,0.002
"apc",4,0.000188226436402993,0.004
"api",6,0.000282339654604489,0.006
"apirot",2,9.41132182014964e-05,0.002
"apis",9,0.000423509481906734,0.006
"apparently",5,0.000235283045503741,0.004
"appartement",2,9.41132182014964e-05,0.002
"appear",4,0.000188226436402993,0.004
"appeared",2,9.41132182014964e-05,0.002
"appears",2,9.41132182014964e-05,0.002
"applegate",3,0.000141169827302245,0.002
"applemail",3,0.000141169827302245,0.002
"application",11,0.00051762270010823,0.006
"applications",7,0.000329396263705237,0.006
"applies",2,9.41132182014964e-05,0.002
"appointed",5,0.000235283045503741,0.004
"appointment",3,0.000141169827302245,0.002
"approach",2,9.41132182014964e-05,0.002
"appropriate",2,9.41132182014964e-05,0.002
"apps",7,0.000329396263705237,0.006
"apt",11,0.00051762270010823,0.01
"aptcncfrirpm",2,9.41132182014964e-05,0.002
"aptdevel",2,9.41132182014964e-05,0.002
"aptget",10,0.000470566091007482,0.006
