"Smokes","AgeAtDeath"
1,75
1,72
1,66
1,74
1,69
1,65
1,72
1,76
1,67
1,65
1,65
1,76
1,68
1,66
1,73
1,73
1,67
1,71
1,66
1,70
1,69
1,66
1,72
1,66
1,65
1,70
1,73
1,74
1,72
1,76
1,69
1,67
1,68
1,71
1,71
1,73
1,76
1,63
1,65
1,67
1,71
1,70
1,75
1,57
1,64
1,58
1,65
1,63
1,64
1,68
1,64
1,76
1,65
1,67
1,69
1,64
1,69
1,71
1,63
1,69
1,64
1,74
1,70
1,60
1,79
1,69
1,72
1,63
1,70
1,68
1,72
1,76
1,63
1,73
1,74
1,77
1,70
1,72
1,79
1,64
1,70
1,65
1,76
1,71
1,66
1,77
1,71
1,69
1,69
1,71
1,63
1,71
1,78
1,77
1,76
1,73
1,68
1,66
1,68
1,68
1,75
1,72
1,75
1,71
1,62
1,75
1,69
1,73
1,71
1,61
1,77
1,75
1,72
1,83
1,71
1,73
1,74
1,71
1,72
1,74
1,75
1,69
1,79
1,76
1,70
1,84
1,76
1,79
1,67
1,72
1,69
1,64
1,77
1,69
1,68
1,75
1,74
1,67
1,76
1,67
1,71
1,72
1,73
1,58
1,71
1,68
1,75
1,68
1,74
1,76
1,68
1,73
1,66
1,75
1,64
1,69
1,71
1,79
1,66
1,69
1,74
1,65
1,62
1,70
1,77
1,68
1,69
1,64
1,71
1,64
1,70
1,60
1,77
1,71
1,70
1,73
1,74
1,73
1,67
1,66
1,66
1,68
1,79
1,74
1,74
1,74
1,69
1,67
1,71
1,64
1,70
1,69
1,76
1,66
1,71
1,65
1,70
1,65
1,77
1,76
1,66
1,69
1,73
1,69
1,69
1,71
1,72
1,71
1,74
1,70
1,65
1,66
1,73
1,67
1,65
1,66
1,70
1,70
1,66
1,68
1,72
1,85
1,72
1,66
1,75
1,66
1,68
1,72
1,67
1,73
1,69
1,66
1,80
1,81
1,66
1,74
1,65
1,77
1,75
1,71
1,80
1,69
1,83
1,66
1,65
1,71
1,65
1,65
1,71
1,69
1,64
1,67
1,78
1,68
1,73
1,76
1,74
1,81
1,76
1,75
1,66
1,68
1,74
1,72
1,75
1,61
1,76
1,62
1,69
1,73
1,83
1,75
1,75
1,67
1,66
1,68
1,76
1,66
1,67
1,60
1,67
1,69
1,79
1,69
1,71
1,73
1,68
