IP_Family,BOOK title,BOOK ISBN,Rank,Long Desc.
9780596000271.IP,"Programming Perl, 3E",9780596000271,1,"Perl is a powerful programming language that  has grown in popularity since it first appeared in 1988. The first edition of this book, <i>Programming Perl,</i> hit the shelves in 1990, and was quickly adopted as the  undisputed bible of the language. Since then, Perl  has grown with the times, and so has this book.
<i>Programming Perl</i> is not just a book about Perl. It is  also a unique introduction to the language and its culture,  as one might expect only from its authors. Larry Wall is the inventor of Perl, and provides a unique perspective on  the evolution of Perl and its future direction. Tom Christiansen was one of the first champions of the language,  and lives and breathes the complexities of Perl internals  as few other mortals do. Jon Orwant is the editor of 
<i>The Perl Journal,</i> which has brought together the Perl  community as a common forum for new developments in Perl.
Any Perl book can show the syntax of Perl's functions, but only this one is a comprehensive guide to all the nooks and crannies of the language. Any Perl book can explain typeglobs, pseudohashes, and closures, but only this one shows  how they really work. Any Perl book can say that <i>my</i> is faster than <i>local,</i> but only this one explains why. Any Perl book  can have a title, but only this book is affectionately known by all Perl programmers as ""The Camel.""  
This third edition of <i>Programming Perl</i> has been expanded to cover version 5.6 of this maturing language. New topics include threading, the compiler, Unicode, and other  new features that have been added since the previous edition."
9781565923928.IP,"Javascript: The Definitive Guide, 3E",9781565923928,2,"JavaScript is a powerful scripting language that can be embedded directly in HTML. It allows you to create dynamic, interactive Web-based applications that run completely within a Web browser; you don't have to do any server-side programming, like writing CGI scripts.  
JavaScript is a simpler language than Java. It can be embedded directly in Web pages without compilation, so it is more flexible and easier to use for simple tasks like animation. However, although you can write reasonably robust and complete Web applications using JavaScript alone, JavaScript is not a substitute for Java. In fact, JavaScript is a good client-side complement to Java; using the two together allows you to create more complex applications than are possible with JavaScript alone.
<i>JavaScript: The Definitive Guide</i> provides a thorough description of the core JavaScript language and its client-side framework, complete with sophisticated examples that show you how to handle common tasks, like validating form data and working with cookies. The book also contains a definitive, in-depth reference section that covers every core and client-side JavaScript function, object, method, property, constructor, and event handler. This book is an indispensable reference for all JavaScript programmers, regardless of experience level.
This third edition of <i>JavaScript: The Definitive Guide</i> describes the latest version of the language, JavaScript 1.2, as supported by Netscape Navigator 4 and Internet Explorer 4. The book also covers JavaScript 1.1, which is the first industry-standard version known as ECMAScript. The new features of JavaScript 1.2, which are likely to be embodied in a later ECMAScript standard release, are clearly indicated, so that you can use them as appropriate in your scripts."
9780596007126.IP,Head First Design Patterns,9780596007126,3,"You're not alone.<br />
<br />
At any given moment, somewhere in the world someone struggles with the same software design problems you have. You know you don't want to reinvent the wheel (or worse, a flat tire), so you look to Design Patterns--the lessons learned by those who've faced the same problems. With Design Patterns, you get to take advantage of the best practices and experience of others, so that you can spend your time on...something else. Something more challenging. Something more complex. Something more fun.<br />
<br />
You want to learn about the patterns that matter--why to use them, when to use them, how to use them (and when NOT to use them). But you don't just want to see how patterns look in a book, you want to know how they look ""in the wild"". In their native environment. In other words, in real world applications. You also want to learn how patterns are used in the Java API, and how to exploit Java's built-in pattern support in your own code.<br />
<br />
You want to learn the real OO design principles and why everything your boss told you about inheritance might be wrong (and what to do instead).  You want to learn how those principles will help the next time you're up a creek without a design pattern.<br />
<br />
Most importantly, you want to learn the ""secret language"" of Design Patterns so that you can hold your own with your co-worker (and impress cocktail party guests) when he casually mentions his stunningly clever use of Command, Facade, Proxy, and Factory in between sips of a martini. You'll easily counter with your deep understanding of why Singleton isn't as simple as it sounds, how the Factory is so often misunderstood, or on the real relationship between Decorator, Facade and Adapter.<br />
<br />
With <i>Head First Design Patterns</i>, you'll avoid the embarrassment of thinking Decorator is something from the ""Trading Spaces"" show. Best of all, in a way that won't put you to sleep!  We think your time is too important (and too short) to spend it struggling with academic texts.<br />
<br />
If you've read a Head First book, you know what to expect--a visually rich format designed for the way your brain works. Using the latest research in neurobiology, cognitive science, and learning theory, <i>Head First Design Patterns</i> will load patterns into your brain in a way that sticks. In a way that lets you put them to work immediately. In a way that makes you better at solving software design problems, and better at speaking the language of patterns with others on your team."
9780596009205.IP,"Head First Java, 2E",9780596009205,4,"Learning a complex new language is no easy task especially when it s an object-oriented computer programming language like Java.  You might think the problem is your brain. It seems to have a mind of its own, a mind that doesn't always want to take in the dry, technical stuff you're forced to study. <br />
<br />
The fact is your brain craves novelty. It's constantly searching, scanning, waiting for something unusual to happen. After all, that's the way it was built to help you stay alive. It takes all the routine, ordinary, dull stuff and filters it to the background so it won't interfere with your brain's real work--recording things that matter. How does your brain know what matters? It's like the creators of the Head First approach say, suppose you're out for a hike and a tiger jumps in front of you, what happens in your brain? Neurons fire. Emotions crank up. Chemicals surge. <br />
<br />
That's how your brain knows.<br />
<br />
And that's how your brain will learn Java. <i>Head First Java</i> combines puzzles, strong visuals, mysteries, and soul-searching interviews with famous Java objects to engage you in many different ways. It's fast, it's fun, and it's effective. And, despite its playful appearance, Head First Java is serious stuff: a complete introduction to object-oriented programming and Java.  You'll learn everything from the fundamentals to advanced topics, including threads, network sockets, and distributed programming with RMI.  And the new. second edition focuses on Java 5.0, the latest version of the Java language and development platform.  Because Java 5.0 is a major update to the platform, with deep, code-level changes, even more careful study and implementation is required.  So learning the Head First way is more important than ever. <br />
<br />
If you've read a Head First book, you know what to expect--a visually rich format designed for the way your brain works. If you haven't, you're in for a treat. You'll see why people say it's unlike any other Java book you've ever read.<br />
<br />
By exploiting how your brain works, <i>Head First Java</i> compresses the time it takes to learn and retain--complex information.  Its unique approach not only shows you what you need to know about Java syntax, it teaches you to think like a Java programmer. If you want to be bored, buy some other book. But if you want to understand Java, this book's for you."
9780596529529.IP,Mac OS X Leopard: The Missing Manual,9780596529529,5,"With Leopard, Apple has unleashed the greatest version of Mac OS X yet, and David Pogue is back with another meticulous Missing Manual to cover the operating system with a wealth of detail. The new Mac OS X 10.5, better known as Leopard, is faster than its predecessors, but nothing's too fast for Pogue and this Missing Manual. It's just one of reasons this is the most popular computer book of all time.<br />
<br />
<em>Mac OS X: The Missing Manual, Leopard Edition</em> is the authoritative book for Mac users of all technical levels and experience. If you're new to the Mac, this book gives you a crystal-clear, jargon-free introduction to the Dock, the Mac OS X folder structure, and the Mail application. There are also mini-manuals on iLife applications such as iMovie, iDVD, and iPhoto, and a tutorial for Safari, Mac's web browser.<br />
<br />
This Missing Manual is amusing and fun to read, but Pogue doesn't take his subject lightly. Which new Leopard features work well and which do not? What should you look for? What should you avoid? <em>Mac OS X: The Missing Manual, Leopard Edition</em> offers an objective and straightforward instruction for using:
<ul>
<li>Leopard's totally revamped Finder</li>
<li>Spaces to group your windows and organize your Mac tasks</li>
<li>Quick Look to view files before you open them</li>
<li>The Time Machine, Leopard's new backup feature</li>
<li>Spotlight to search for and find anything in your Mac</li>
<li>Front Row, a new way to enjoy music, photos, and videos</li>
<li>Enhanced Parental Controls that come with Leopard</li>
<li>Quick tips for setting up and configuring your Mac to make it your own</li>
</ul>
There's something new on practically every page of this new edition, and David Pogue brings his celebrated wit and expertise to every one of them. Mac's brought a new cat to town and <em>Mac OS X: The Missing Manual, Leopard Edition</em> is a great new way to tame it."
9780596101978.IP,Head First HTML with CSS & XHTML,9780596101978,6,"Tired of reading HTML books that only make sense after you're an expert? Then it's about time you picked up <i>Head First HTML with CSS & XHTML</i> and really learned HTML. You want to learn HTML so you can finally create those web pages you've always wanted, so you can communicate more effectively with friends, family, fans, and fanatic customers. You also want to do it right so you can actually maintain and expand your Web pages over time, and so your web pages work in all the browsers and mobile devices out there. Oh, and if you've never heard of CSS, that's okay - we won't tell anyone you're still partying like it's 1999 - but if you're going to create Web pages in the 21st century then you'll want to know and understand CSS.
<p>
Learn the real secrets of creating Web pages, and why everything your boss told you about HTML tables is probably wrong (and what to do instead). Most importantly, hold your own with your co-worker (and impress cocktail party guests) when he casually mentions how his HTML is now strict, and his CSS is in an external style sheet.
</p><p>
With <i>Head First HTML with CSS & XHTML</i>, you'll avoid the embarrassment of thinking web-safe colors still matter, and the foolishness of slipping a font tag into your pages. Best of all, you'll learn HTML and CSS in a way that won't put you to sleep. If you've read a Head First book, you know what to expect: a visually-rich format designed for the way your brain works. Using the latest research in neurobiology, cognitive science, and learning theory, this book will load HTML, CSS, and XHTML  into your brain in a way that sticks.
</p><p>
So what are you waiting for? Leave those other dusty books behind and come join us in Webville. Your tour is about to begin.</p>
<p>
""Elegant design is at the core of every chapter here, each concept
conveyed with equal doses of pragmatism and wit.""
--Ken Goldstein, Executive Vice President, Disney Online</p>
<p>
""This book is a thoroughly modern introduction to forward-looking
practices in web page markup and presentation.""
--Danny Goodman, author of <i>Dynamic HTML: The Definitive Guide</i></p>
<p>""What used to be a long trial and error learning process has
now been reduced neatly into an engaging paperback.""
--Mike Davidson, CEO, Newsvine, Inc.</p>
<p>""I love <i>Head First HTML with CSS & XHTML</i>--it
teaches you everything you need to learn in a 'fun coated' format!""
--Sally Applin, UI Designer and Artist</p>
<p>""I haven't had as much fun reading a book (other than Harry Potter) in years. And your book finally helped me break out of my hapless so-last-century way of creating web pages.""
--Professor David M. Arnow, Department of Computer and Information Science, Brooklyn College</p>
<p>""If you've ever had a family member who wanted you to design a website for them, buy them Head First HTML with CSS and XHTML. If you've ever asked a family member to design you a web site, buy this book. If you've ever bought an HTML book and ended up using it to level your desk, or for kindling on a cold winter day, buy this book. This is the book you've been waiting for. This is the learning system you've been waiting for.""
--Warren Kelly, Blogcritics.org</p>"
9781565924871.IP,"Java in a Nutshell, 3E",9781565924871,7,"This bestselling quick reference  contains an accelerated introduction to the Java language and its key APIs, so seasoned programmers can start writing Java code right away.  The third edition of <i>Java in a Nutshell</i> covers Java 1.2 and Java 1.3 beta and includes:
<ul><li>A description of the syntax of the Java language, written in a tight, concise style, that can serve as both a fast-paced tutorial and a language reference.</li>
<li>An explanation of the object-oriented features of Java that does not assume any prior object-oriented programming experience.</li>
<li>An overview of the essential Java APIs that shows how to perform common tasks, such as string manipulation, input/output, and thread handling, with the classes and interfaces that comprise the Java 2 platform.</li>
<li>Documentation for the Java development tools shipped with Sun's Java SDK.</li>
</ul>
This book also includes O'Reilly's classic-style, quick-reference material for all of the classes in the essential Java packages, including <i>java.lang,</i> <i>java.io,</i> <i>java.beans</i>
<i>java.math,</i> <i>java.net,</i> <i>java.security,</i>
<i>java.text,</i> <i>java.util,</i> and <i>javax.crypto</i>.  This reference material covers all of the new classes in Java 1.2 and 1.3. Once you've learned Java, you'll keep this book next to your keyboard for handy reference while you program.
This book is part of the two-volume set of quick references that every Java programmer needs.  It is an essential companion to <i>Java Foundation Classes in a Nutshell,</i> which covers the graphics and graphical user interface APIs in the Java 2 platform, including Swing, AWT, and Java 2D.  A third volume, <i>Java Enterprise in a Nutshell,</i> focuses on the Java Enterprise APIs and is of interest to programmers working on server-side or enterprise Java applications."
9781565924277.IP,"UNIX in a Nutshell, 3E",9781565924277,8,"You may have seen Unix quick-reference guides, but you've never seen anything like <i>UNIX in a Nutshell</i>. Not a scaled-down quick reference of common commands, <i>UNIX in a Nutshell</i> is a complete reference containing all commands and options, along with generous descriptions and examples that put the commands in context. For all but the thorniest Unix problems, this one reference should be all the documentation you need.
The third edition of <i>UNIX in a Nutshell</i> includes thorough coverage of System V Release 4. To that, author Arnold Robbins has added the latest information about:
<ul><li>Sixty new commands in <i>The Alphabetical Summary of Commands</i>
</li><li>Solaris 7
</li><li>Shell syntax (<i>sh</i>, <i>csh</i>, and the 1988 and 1993 versions of <i>ksh</i>)
</li><li>Regular expression syntax
</li><li><i>vi</i> and <i>ex</i> commands, as well as newly updated Emacs information
</li><li><i>sed</i> and <i>awk</i> commands
</li><li><i>troff</i> and related commands and macros, with a new section on <i>refer</i>
</li><li><i>make</i>, RCS (version 5.7), and SCCS commands</li></ul>
In addition, there is a new Unix bibliography to guide the reader to further reading about the Unix environment.
If you currently use Unix SVR4, or if you're a Solaris user, you'll want this book. <i>UNIX in a Nutshell</i> is the most comprehensive quick reference on the market, a must for any Unix user."
9780596009410.IP,"Mac OS X: The Missing Manual, Tiger Edition",9780596009410,9,"You can set your watch to it: As soon as Apple comes out with another version of Mac OS X, David Pogue hits the streets with another meticulous Missing Manual to cover it with a wealth of detail. The new Mac OS X 10.4, better known as Tiger, is faster than its predecessors, but nothing's too fast for Pogue and <i>Mac OS X: The Missing Manual</i>. There are many reasons why this is the most popular computer book of all time.
<p>
With its hallmark objectivity, the Tiger Edition thoroughly explores the latest features to grace the Mac OS. Which ones work well and which do not? What should you look for? This book tackles Spotlight, an enhanced search feature that helps you find anything on your computer; iChat AV for videoconferencing; Automator for automating repetitive, manual or batch tasks; and  the hundreds of smaller tweaks and changes, good and bad, that Apple's marketing never bothers to mention.</p>
<p>
<i>Mac OS X: The Missing Manual, Tiger Edition</i> is the authoritative book that's ideal for every user, including people coming to the Mac for the first time. Our guide offers an ideal introduction that demystifies the Dock, the unfamiliar Mac OS X folder structure, and the entirely new Mail application. There are also mini-manuals on iLife applications such as iMovie, iDVD, and iPhoto, those much-heralded digital media programs, and a tutorial for Safari, Mac's own web browser. </p>
<p>
And plenty more: learn to configure Mac OS X using the System Preferences application, keep your Mac secure with FileVault, and learn about Tiger's enhanced Firewall capabilities. If you're so inclined, this Missing Manual also offers an easy introduction to the Terminal application for issuing basic Unix commands. </p>
<p>
There's something new on practically every page, and David Pogue brings his celebrated wit and expertise to every one of them. Mac's brought a new cat to town and we have a great new way to tame it.</p>"
9781565924697.IP,"Running Linux, 3E",9781565924697,10,"Once a little-known productivity boost for personal computers, Linux is now becoming a central part of computing environments everywhere.  This operating system now serves as corporate hubs, Web servers,  academic research platforms, and program development systems. All  along it's also managed to keep its original role as an enjoyable  environment for personal computing, learning system administration  and programming skills, and all-around hacking.
This book, now in its third edition, has been widely recognized for years in the Linux community as the getting-started book people need. It goes into depth about configuration issues that often trip up users but are glossed over by other books.
A complete, UNIX-compatible operating system developed by volunteers on the Internet, Linux is distributed freely in electronic form and at a low cost from many vendors. Developed first on the PC, it has been ported to many other architectures and can now support such heavy-duty features as multiprocessing, RAID, and clustering.
Software packages on Linux include the Samba file server and Apache Web server; the X Window System (X11R6); TCP/IP networking (including PPP, SSH, and NFS support); popular software tools such as Emacs and TeX; a complete software development environment including C, C++, Java, Perl, Tcl/Tk, and Python; libraries, debuggers, multimedia support, scientific and database applications, and much more. Commercial applications that run on Linux range from end-user tools like word processors and spreadsheets to mission-critical software like the Oracle, Sybase, Informix, and IBM DB/2 database management systems.
<I>Running Linux</I> has all the information you need to understand, install, and start using the Linux operating system. This includes a comprehensive installation tutorial, complete information on system maintenance, tools for document development and programming, and guidelines for network, file, printer, and Web site administration.
New topics in the third edition include:
<ul><li>KDE, a desktop that brings the friendliness and ease-of-use of Windows or the Macintosh to Linux
<LI>Samba, which turns Linux into an office hub that serves files and printers to Microsoft systems
<LI>PPP, the most popular software for logging into remote systems over phone lines
<LI>Revised instructions for installation and configuration, particularly covering the Red Hat, SuSE and Debian distributions</ul>"
