"Date","Stock","Close"
2011-05-25,"DTE",51.12
2011-05-24,"DTE",51.51
2011-05-23,"DTE",51.47
2011-05-20,"DTE",51.9
2011-05-19,"DTE",51.91
2011-05-18,"DTE",51.68
2011-05-17,"DTE",52.12
2011-05-16,"DTE",52.05
2011-05-13,"DTE",52.54
2011-05-12,"DTE",52.45
2011-05-11,"DTE",51.94
2011-05-10,"DTE",51.99
2011-05-09,"DTE",51.19
2011-05-06,"DTE",51.16
2011-05-05,"DTE",50.84
2011-05-04,"DTE",51.47
2011-05-03,"DTE",51.46
2011-05-02,"DTE",51.09
2011-04-29,"DTE",50.53
2011-04-28,"DTE",49.96
2011-04-27,"DTE",49.62
2011-04-26,"DTE",48.87
2011-04-25,"DTE",49.41
2011-04-21,"DTE",49.47
2011-04-20,"DTE",49.4
2011-04-19,"DTE",48.7
2011-04-18,"DTE",48.8
2011-04-15,"DTE",49.34
2011-04-14,"DTE",48.37
2011-04-13,"DTE",48.48
2011-04-12,"DTE",48.35
2011-04-11,"DTE",48.73
2011-04-08,"DTE",49.21
2011-04-07,"DTE",49.5
2011-04-06,"DTE",49.64
2011-04-05,"DTE",49.49
2011-04-04,"DTE",49.37
2011-04-01,"DTE",49.36
2011-03-31,"DTE",48.96
2011-03-30,"DTE",48.99
2011-03-29,"DTE",48.1
2011-03-28,"DTE",47.51
2011-03-25,"DTE",47.78
2011-03-24,"DTE",47.69
2011-03-23,"DTE",47.47
2011-03-22,"DTE",47.52
2011-03-21,"DTE",47.7
2011-03-18,"DTE",47.03
2011-03-17,"DTE",47.25
2011-03-16,"DTE",47.67
2011-03-15,"DTE",48.18
2011-03-14,"DTE",48.47
2011-03-11,"DTE",48.99
2011-03-10,"DTE",48.52
2011-03-09,"DTE",49.17
2011-03-08,"DTE",48.7
2011-03-07,"DTE",48.09
2011-03-04,"DTE",47.72
2011-03-03,"DTE",47.58
2011-03-02,"DTE",46.95
2011-03-01,"DTE",46.65
2011-02-28,"DTE",47.08
2011-02-25,"DTE",46.98
2011-02-24,"DTE",46.62
2011-02-23,"DTE",46.56
2011-02-22,"DTE",46.45
2011-02-18,"DTE",47.13
2011-02-17,"DTE",46.85
2011-02-16,"DTE",46.7
2011-02-15,"DTE",46.74
2011-02-14,"DTE",46.64
2011-02-11,"DTE",46.94
2011-02-10,"DTE",46.89
2011-02-09,"DTE",46.98
2011-02-08,"DTE",46.45
2011-02-07,"DTE",46.33
2011-02-04,"DTE",46.3
2011-02-03,"DTE",46.36
2011-02-02,"DTE",46.23
2011-02-01,"DTE",46.63
2011-01-31,"DTE",46.26
2011-01-28,"DTE",46.22
2011-01-27,"DTE",47.01
2011-01-26,"DTE",46.53
2011-01-25,"DTE",46.89
2011-01-24,"DTE",46.9
2011-01-21,"DTE",46.52
2011-01-20,"DTE",46.75
2011-01-19,"DTE",46.56
2011-01-18,"DTE",46.91
2011-01-14,"DTE",46.85
2011-01-13,"DTE",46.72
2011-01-12,"DTE",46.66
2011-01-11,"DTE",46.44
2011-01-10,"DTE",46.14
2011-01-07,"DTE",46.34
2011-01-06,"DTE",45.67
2011-01-05,"DTE",45.84
2011-01-04,"DTE",45.83
2011-01-03,"DTE",45.57
2010-12-31,"DTE",45.32
2010-12-30,"DTE",45.38
2010-12-29,"DTE",45.22
2010-12-28,"DTE",45.17
2010-12-27,"DTE",45.09
2010-12-23,"DTE",45.48
2010-12-22,"DTE",45.39
2010-12-21,"DTE",45.53
2010-12-20,"DTE",45.61
2010-12-17,"DTE",45.37
2010-12-16,"DTE",45.61
2010-12-15,"DTE",45.41
2010-12-14,"DTE",46.17
2010-12-13,"DTE",46.21
2010-12-10,"DTE",46.11
2010-12-09,"DTE",45.67
2010-12-08,"DTE",45.27
2010-12-07,"DTE",45.46
2010-12-06,"DTE",45.3
2010-12-03,"DTE",45.58
2010-12-02,"DTE",45.53
2010-12-01,"DTE",45.4
2010-11-30,"DTE",44.55
2010-11-29,"DTE",44.81
2010-11-26,"DTE",45.1
2010-11-24,"DTE",45.38
2010-11-23,"DTE",45.14
2010-11-22,"DTE",45.88
2010-11-19,"DTE",45.71
2010-11-18,"DTE",45.31
2010-11-17,"DTE",44.97
2010-11-16,"DTE",45.11
2010-11-15,"DTE",45.72
2010-11-12,"DTE",45.71
2010-11-11,"DTE",46.07
2010-11-10,"DTE",45.97
2010-11-09,"DTE",46.29
2010-11-08,"DTE",46.48
2010-11-05,"DTE",46.83
2010-11-04,"DTE",47.1
2010-11-03,"DTE",46.34
2010-11-02,"DTE",46.31
2010-11-01,"DTE",45.67
2010-10-29,"DTE",46.76
2010-10-28,"DTE",47.25
2010-10-27,"DTE",47.06
2010-10-26,"DTE",47.05
2010-10-25,"DTE",46.82
2010-10-22,"DTE",46.93
