"Package","User","Installed"
"abind",1,1
"AcceptanceSampling",1,0
"ACCLMA",1,0
"accuracy",1,1
"acepack",1,0
"aCGH.Spline",1,0
"actuar",1,1
"ada",1,0
"adabag",1,1
"ADaCGH",1,1
"AdaptFit",1,1
"adaptTest",1,1
"ade4",1,1
"ade4TkGUI",1,0
"adegenet",1,1
"adehabitat",1,0
"adephylo",1,1
"ADGofTest",1,1
"adimpro",1,1
"adk",1,1
"adlift",1,1
"AdMit",1,1
"ads",1,1
"AER",1,1
"afc",1,1
"agilp",1,1
"agricolae",1,0
"AGSDest",1,1
"AICcmodavg",1,0
"AIGIS",1,1
"AIM",1,1
"akima",1,0
"alabama",1,1
"AlgDesign",1,1
"allan",1,1
"allelic",1,1
"alphahull",1,1
"alr3",1,1
"ALS",1,1
"amap",1,1
"amba",1,1
"amei",1,0
"Amelia",1,1
"amer",1,0
"AMORE",1,1
"anacor",1,0
"analogue",1,0
"AnalyzeFMRI",1,1
"anapuce",1,1
"anchors",1,1
"andrews",1,1
"anesrake",1,0
"Animal",1,1
"animation",1,1
"anm",1,1
"ant",1,1
"aod",1,1
"apcluster",1,1
"ape",1,1
"aplpack",1,0
"approximator",1,1
"apsrtable",1,0
"apTreeshape",1,1
"aqp",1,1
"AquaEnv",1,1
"archetypes",1,0
"ArDec",1,0
"ares",1,1
"argosfilter",1,1
"arm",1,1
"aroma.affymetrix",1,1
"aroma.apd",1,1
"aroma.cn",1,1
"aroma.core",1,1
"aroma.light",1,0
"arrayImpute",1,1
"arrayMissPattern",1,0
"ars",1,1
"arules",1,1
"arulesNBMiner",1,1
"arulesSequences",1,1
"asbio",1,0
"ascii",1,1
"asd",1,1
"ash",1,1
"aspace",1,1
"aspect",1,1
"assist",1,1
"aster",1,1
"asypow",1,0
"atmi",1,1
"audio",1,1
"automap",1,1
"aws",1,1
"aylmer",1,0
"B2Z",1,1
"BACCO",1,1
"backfitRichards",1,1
"backtest",1,1
"BaM",1,1
"BAMD",1,1
"BARD",1,0
"bark",1,1
"BAS",1,1
"base",1,1
"base64",1,1
"batch",1,1
"bayesclust",1,1
"bayescount",1,0
"BayesDA",1,1
"bayesGARCH",1,1
"bayesm",1,1
"bayesmix",1,1
"BayesQTLBIC",1,1
"bayesSurv",1,1
"BayesTree",1,1
"BayesValidate",1,1
"BayesX",1,0
"BayHaz",1,1
"BAYSTAR",1,0
"BB",1,0
"bbmle",1,1
"BBMM",1,0
"BCE",1,1
"Bchron",1,1
"bclust",1,1
"bcp",1,1
"bcv",1,1
"bdoc",1,1
"bdsmatrix",1,1
"beanplot",1,1
"bear",1,1
"benchden",1,1
"benchmark",1,1
"bentcableAR",1,1
"ber",1,1
"Bergm",1,1
"bestglm",1,1
"betaper",1,0
"betareg",1,1
"bethel",1,1
"bfast",1,0
"BGSIMD",1,1
"Bhat",1,0
"BHH2",1,1
"BiasedUrn",1,1
"bibtex",1,1
"biclust",1,1
"bifactorial",1,0
"biganalytics",1,1
"biglars",1,0
"biglm",1,1
"bigmemory",1,0
"bigtabulate",1,1
"bild",1,1
"binarySimCLF",1,1
"bindata",1,0
"binGroup",1,1
"binhf",1,1
"binMto",1,0
"binom",1,0
"binomSamSize",1,1
"bio.infer",1,1
"Biodem",1,1
"BiodiversityR",1,1
"BioIDMapper",1,1
"biopara",1,1
"BioPhysConnectoR",1,1
"biOps",1,1
"biOpsGUI",1,1
"BioStatR",1,0
"bipartite",1,0
"BiplotGUI",1,1
"bise",1,1
"bisoreg",1,1
"bit",1,1
"bitops",1,0
"biwt",1,1
"BLCOP",1,0
"blighty",1,1
"blockmodeling",1,1
"blockrand",1,1
"blockTools",1,0
"BLR",1,1
"BMA",1,1
"bmd",1,1
"Bmix",1,0
"BMN",1,1
"BMS",1,1
"bnlearn",1,0
"boa",1,1
"Bolstad",1,1
"Bolstad2",1,1
"boolean",1,1
"boolfun",1,0
"BoolNet",1,0
"boot",1,1
"BootPR",1,1
"bootRes",1,1
"bootruin",1,1
"bootspecdens",1,1
"bootStepAIC",1,1
"bootstrap",1,1
"Boruta",1,1
"BoSSA",1,1
"bpca",1,1
"BPHO",1,1
"bqtl",1,1
"BradleyTerry",1,1
"BradleyTerry2",1,1
"brainwaver",1,1
"brew",1,0
"brglm",1,1
"Brobdingnag",1,1
"bs",1,1
"BSagri",1,1
"BSDA",1,1
"BsMD",1,1
"bspec",1,1
"BTSPAS",1,1
"bvls",1,1
"bvpSolve",1,1
"ca",1,1
"cacher",1,1
"cacheSweave",1,1
"CADFtest",1,1
"CADStat",1,0
"caGUI",1,1
"Cairo",1,1
"cairoDevice",1,0
"CalciOMatic",1,0
"calib",1,0
"calibrate",1,1
"calibrator",1,1
"caMassClass",1,1
"candisc",1,0
"canvas",1,0
"car",1,1
"CarbonEL",1,1
"care",1,1
"caret",1,1
"caroline",1,1
"cat",1,0
"catmap",1,1
"catnet",1,1
"caTools",1,1
"catR",1,1
"catspec",1,1
"CausalGAM",1,1
"CAVIAR",1,1
"cba",1,1
"CCA",1,1
"ccems",1,1
"ccgarch",1,1
"cclust",1,1
"CCMtools",1,1
"CCP",1,1
"CDFt",1,1
"CDNmoney",1,1
"CellularAutomaton",1,1
"cellVolumeDist",1,1
"cem",1,0
"censReg",1,0
"cfa",1,1
"cggd",1,1
"cgh",1,1
"cghFLasso",1,1
"CGIwithR",1,1
"ChainLadder",1,1
"changeLOS",1,1
"charlson",1,1
"cheb",1,0
"chemCal",1,1
"chemometrics",1,1
"CHNOSZ",1,0
"choplump",1,1
"chplot",1,1
"chron",1,0
"CHsharp",1,1
"cimis",1,1
"CircNNTSR",1,1
"CircSpatial",1,0
"CircStats",1,1
"circular",1,1
"class",1,0
"classGraph",1,1
"classifly",1,1
"classInt",1,1
"clim.pact",1,1
"climatol",1,1
"clinfun",1,1
"ClinicalRobustPriors",1,1
"clinsig",1,1
"clue",1,1
"clues",1,1
"cluster",1,0
"clusterCons",1,0
"clusterfly",1,0
"clusterGeneration",1,1
"clusterRepro",1,1
"clusterSim",1,1
"clustTool",1,0
"clustvarsel",1,0
"clv",1,1
"clValid",1,1
"cmaes",1,0
"CMC",1,0
"cmm",1,1
"cmprsk",1,1
"cmprskContin",1,0
"cmrutils",1,1
"CNVassoc",1,1
"coarseDataTools",1,1
"cobs",1,1
"cobs99",1,1
"CoCo",1,1
"CoCoCg",1,1
"CoCoGraph",1,1
"cocorresp",1,1
"coda",1,1
"codep",1,1
"codetools",1,0
"coenoflex",1,1
"coin",1,1
"colbycol",1,0
"CollocInfer",1,1
"colorRamps",1,1
"colorspace",1,1
"combinat",1,1
"CombMSC",1,0
"compare",1,1
"compareGroups",1,0
"CompetingRiskFrailty",1,1
"compHclust",1,1
"compoisson",1,1
"COMPoissonReg",1,1
"compositions",1,1
"compOverlapCorr",1,0
"CompQuadForm",1,1
"CompRandFld",1,1
"compute.es",1,1
"concor",1,0
"concord",1,0
"cond",1,1
"condGEE",1,1
"conf.design",1,1
"constrainedKriging",1,0
"contfrac",1,1
"contrast",1,1
"ConvCalendar",1,1
"ConvergenceConcepts",1,1
"convexHaz",1,1
"COP",1,1
"copas",1,1
"copula",1,0
"corcounts",1,1
"CORElearn",1,1
"corpcor",1,0
"corpora",1,1
"CorrBin",1,1
"CORREP",1,1
"corrgram",1,1
"corrperm",1,1
"corrplot",1,1
"corrsieve",1,1
"countrycode",1,1
"covRobust",1,1
"CoxBoost",1,1
"coxme",1,1
"coxphf",1,0
"coxphw",1,1
"coxrobust",1,0
"COZIGAM",1,1
"CPE",1,1
"Cprob",1,1
"cramer",1,1
"crank",1,1
"crantastic",1,0
"crawl",1,1
"CreditMetrics",1,1
"crmn",1,1
"crossdes",1,1
"crosshybDetector",1,1
"csampling",1,1
"cshapes",1,1
"cslogistic",1,1
"cthresh",1,1
"CTT",1,1
"ctv",1,1
"cubature",1,1
"cudaBayesreg",1,0
