Rank	Site	Category	UniqueVisitors	Reach	PageViews	HasAdvertising	InEnglish	TLD
1	facebook.com	Social Networks	880000000	47.2	910000000000	Yes	Yes	com
2	youtube.com	Online Video	800000000	42.7	100000000000	Yes	Yes	com
3	yahoo.com	Web Portals	660000000	35.3	77000000000	Yes	Yes	com
4	live.com	Search Engines	550000000	29.3	36000000000	Yes	Yes	com
5	wikipedia.org	Dictionaries & Encyclopedias	490000000	26.2	7000000000	No	Yes	org
6	msn.com	Web Portals	450000000	24	15000000000	Yes	Yes	com
7	blogspot.com	Blogging Resources & Services	410000000	21.9	5400000000	Yes	Yes	com
8	baidu.com	Search Engines	340000000	18	110000000000	Yes	No	com
9	bing.com	Search Engines	340000000	18.3	11000000000	Yes	Yes	com
10	microsoft.com	Software	340000000	18.3	2700000000	Yes	Yes	com
11	qq.com	Web Portals	280000000	15	44000000000	Yes	No	com
12	ask.com	Search Engines	210000000	11.2	2000000000	Yes	Yes	com
13	taobao.com	Classifieds	190000000	10.3	30000000000	Yes	No	com
14	adobe.com	Multimedia Software	170000000	9.2	1000000000	No	Yes	com
15	wordpress.com	Blogging Resources & Services	170000000	9.2	1000000000	Yes	Yes	com
16	twitter.com	Email & Messaging	160000000	8.4	6000000000	Yes	Yes	com
17	youku.com	Online Video	160000000	8.4	3600000000	Yes	No	com
18	soso.com	Search Engines	160000000	8.4	3600000000	No	No	com
19	sohu.com	Web Portals	140000000	7.6	5900000000	Yes	No	com
20	163.com	Web Portals	140000000	7.7	6500000000	Yes	No	com
21	windows.com	Windows OS	130000000	7	540000000	Yes	Yes	com
22	hao123.com	Web Portals	120000000	6.3	7200000000	Yes	No	com
23	tudou.com	Online Video	120000000	6.3	2700000000	Yes	No	com
24	amazon.com	Shopping	120000000	6.3	4400000000	Yes	Yes	com
25	apple.com	Mac OS	110000000	5.8	1100000000	Yes	Yes	com
26	ebay.com	Auctions	110000000	5.8	10000000000	Yes	Yes	com
27	sogou.com	Search Engines	89000000	4.8	2300000000	Yes	No	com
28	mozilla.com	Internet Clients & Browsers	87000000	4.7	590000000	No	Yes	com
29	yahoo.co.jp	Web Portals	87000000	4.7	30000000000	Yes	No	co.jp
30	paypal.com	Merchant Services & Payment Systems	82000000	4.4	1700000000	Yes	Yes	com
31	tmall.com	Apparel	81000000	4.3	2100000000	Yes	No	com
32	go.com	Web Portals	81000000	4.4	3300000000	Yes	Yes	com
33	about.com	How-To&sbquo; DIY & Expert Content	81000000	4.3	600000000	Yes	Yes	com
34	flickr.com	Photo & Image Sharing	81000000	4.3	1700000000	Yes	Yes	com
35	56.com	Online Media	80000000	4.3	1100000000	Yes	No	com
36	4399.com	Online Games	80000000	4.3	4800000000	Yes	No	com
37	linkedin.com	Social Networks	74000000	4	2300000000	Yes	Yes	com
38	xunlei.com	File Sharing & Hosting	74000000	4	2000000000	Yes	No	com
39	dailymotion.com	Online Media	73000000	3.9	810000000	Yes	Yes	com
40	aol.com	Web Portals	72000000	3.9	5300000000	Yes	Yes	com
41	orkut.com	Social Networks	72000000	3.9	4400000000	Yes	Yes	com
42	ku6.com	Online Media	68000000	3.6	540000000	Yes	No	com
43	bbc.co.uk	World News	67000000	3.6	2700000000	Yes	Yes	co.uk
44	pps.tv	Online Video	67000000	3.6	540000000	Yes	No	tv
45	orkut.com.br	Social Networks	67000000	3.6	53000000000	No	No	com.br
46	cnet.com	Consumer Electronics	67000000	3.6	450000000	Yes	Yes	com
47	craigslist.org	Classifieds	66000000	3.5	24000000000	No	Yes	org
48	ehow.com	How-To&sbquo; DIY & Expert Content	61000000	3.3	280000000	Yes	Yes	com
49	weather.com	Weather	61000000	3.2	1200000000	Yes	Yes	com
